"_id","TIMESTAMP","SHORT_DESC","LONG_DESC","TYPE","LEVEL"
"91","Sep 7, 2017 10:24:52 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"92","Sep 7, 2017 10:24:52 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"93","Sep 7, 2017 10:24:55 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: 84:24:8d:d7:cb:e0<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 1470860810<br>","wifi","info"
"94","Sep 7, 2017 10:24:59 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"95","Sep 7, 2017 10:24:59 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"96","Sep 7, 2017 10:25:16 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: 84:24:8d:d7:78:40<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 1470860810<br>","wifi","info"
"97","Sep 7, 2017 10:25:41 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"98","Sep 7, 2017 10:25:41 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"99","Sep 7, 2017 10:25:49 PM","Screen Turned On","Screen has been turned on.","screen","info"
"100","Sep 7, 2017 10:25:52 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"101","Sep 7, 2017 10:25:56 PM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"102","Sep 7, 2017 10:25:59 PM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"103","Sep 7, 2017 10:27:00 PM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"104","Sep 7, 2017 10:27:01 PM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"105","Sep 7, 2017 10:27:02 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"106","Sep 7, 2017 10:27:06 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"107","Sep 7, 2017 10:27:06 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"108","Sep 7, 2017 10:27:17 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: 84:24:8d:d4:d8:70<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 485263882<br>","wifi","info"
"109","Sep 7, 2017 10:27:31 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"110","Sep 7, 2017 10:27:31 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"111","Sep 7, 2017 10:27:32 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"TransitWirelessWiFi"
"<br> •BSSID: 84:24:8d:d3:d1:70<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 485263882<br>","wifi","info"
"112","Sep 7, 2017 10:28:23 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"113","Sep 7, 2017 10:28:23 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"114","Sep 7, 2017 10:32:15 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"115","Sep 7, 2017 10:32:15 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"116","Sep 7, 2017 10:32:15 PM","Screen Turned On","Screen has been turned on.","screen","info"
"117","Sep 7, 2017 10:32:17 PM","Screen Unlocked","User has unlocked the device.","screen","info"
"118","Sep 7, 2017 10:32:26 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"119","Sep 7, 2017 10:32:26 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"120","Sep 7, 2017 10:32:58 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"121","Sep 7, 2017 10:32:58 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"122","Sep 7, 2017 10:33:02 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"123","Sep 7, 2017 10:33:40 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"124","Sep 7, 2017 10:33:40 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"125","Sep 7, 2017 10:40:49 PM","Power Source Connected","Device has been connected to power source","usb","info"
"126","Sep 7, 2017 10:40:49 PM","Screen Turned On","Screen has been turned on.","screen","info"
"127","Sep 7, 2017 10:40:55 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"shortbus"
"<br> •BSSID: b8:27:eb:55:80:85<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 2030217408<br>","wifi","info"
"128","Sep 7, 2017 10:41:20 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"129","Sep 7, 2017 10:59:38 PM","Screen Turned On","Screen has been turned on.","screen","info"
"130","Sep 7, 2017 11:00:09 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"131","Sep 7, 2017 11:04:28 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"132","Sep 7, 2017 11:04:28 PM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"133","Sep 7, 2017 11:04:48 PM","Screen Turned On","Screen has been turned on.","screen","info"
"134","Sep 7, 2017 11:05:05 PM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"shortbus"
"<br> •BSSID: b8:27:eb:55:80:85<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 2030217408<br>","wifi","info"
"135","Sep 7, 2017 11:05:18 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"136","Sep 7, 2017 11:33:41 PM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"137","Sep 7, 2017 11:36:32 PM","Power Source Disconnected","Device has been disconnected from power source","usb","info"
"138","Sep 7, 2017 11:36:33 PM","Screen Turned On","Screen has been turned on.","screen","info"
"139","Sep 7, 2017 11:37:03 PM","Screen Turned Off","Screen has been turned off.","screen","info"
"140","Sep 8, 2017 12:00:00 AM","Date changed","User has changed device date settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","date","warning"
"141","Sep 8, 2017 12:33:43 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"142","Sep 8, 2017 12:58:47 AM","Screen Turned On","Screen has been turned on.","screen","info"
"143","Sep 8, 2017 12:59:18 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"144","Sep 8, 2017 1:33:45 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"145","Sep 8, 2017 2:33:48 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"146","Sep 8, 2017 3:13:49 AM","Screen Turned On","Screen has been turned on.","screen","info"
"147","Sep 8, 2017 3:14:20 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"148","Sep 8, 2017 3:29:03 AM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"149","Sep 8, 2017 3:29:03 AM","WiFi State Changed: <font color=red>[DISCONNECTED]</font>","Disconnected from WiFi network.","wifi","info"
"150","Sep 8, 2017 3:29:04 AM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"shortbus"
"<br> •BSSID: b8:27:eb:55:80:85<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 2030217408<br>","wifi","info"
"151","Sep 8, 2017 3:33:51 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"152","Sep 8, 2017 4:33:52 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"153","Sep 8, 2017 5:33:55 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"154","Sep 8, 2017 6:33:57 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"155","Sep 8, 2017 7:01:26 AM","Power Source Connected","Device has been connected to power source","usb","info"
"156","Sep 8, 2017 7:01:26 AM","Screen Turned On","Screen has been turned on.","screen","info"
"157","Sep 8, 2017 7:01:57 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"158","Sep 8, 2017 7:33:59 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"159","Sep 8, 2017 8:13:46 AM","Screen Turned On","Screen has been turned on.","screen","info"
"160","Sep 8, 2017 8:14:17 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"161","Sep 8, 2017 8:34:01 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"162","Sep 8, 2017 8:36:05 AM","Screen Turned On","Screen has been turned on.","screen","info"
"163","Sep 8, 2017 8:36:36 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"164","Sep 8, 2017 8:58:47 AM","Screen Turned On","Screen has been turned on.","screen","info"
"165","Sep 8, 2017 8:59:18 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"166","Sep 8, 2017 9:07:40 AM","Application Replaced: [Google Play Store]","Application has been re-installed.<br> •Application Name: Google Play Store<br> •Package Name: com.android.vending<br>","app","warning"
"167","Sep 8, 2017 9:10:05 AM","Screen Turned On","Screen has been turned on.","screen","info"
"168","Sep 8, 2017 9:10:08 AM","Screen Unlocked","User has unlocked the device.","screen","info"
"169","Sep 8, 2017 9:10:08 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"170","Sep 8, 2017 9:10:11 AM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"171","Sep 8, 2017 9:10:12 AM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"172","Sep 8, 2017 9:10:13 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"173","Sep 8, 2017 9:10:13 AM","App Started/Resumed: [Google App]","Application 'Google App'[com.google.android.googlequicksearchbox] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"174","Sep 8, 2017 9:10:20 AM","App Started/Resumed: [Clock]","Application 'Clock'[com.google.android.deskclock] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"175","Sep 8, 2017 9:10:51 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"176","Sep 8, 2017 9:10:56 AM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"177","Sep 8, 2017 9:14:40 AM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"shortbus"
"<br> •BSSID: b8:27:eb:55:80:85<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 2030217408<br>","wifi","info"
"178","Sep 8, 2017 9:34:03 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"179","Sep 8, 2017 10:34:05 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"180","Sep 8, 2017 10:44:44 AM","Screen Turned On","Screen has been turned on.","screen","info"
"181","Sep 8, 2017 10:45:14 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"182","Sep 8, 2017 10:58:50 AM","Screen Turned On","Screen has been turned on.","screen","info"
"183","Sep 8, 2017 10:59:20 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"184","Sep 8, 2017 10:59:40 AM","Screen Turned On","Screen has been turned on.","screen","info"
"185","Sep 8, 2017 10:59:43 AM","Screen Unlocked","User has unlocked the device.","screen","info"
"186","Sep 8, 2017 10:59:43 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"187","Sep 8, 2017 10:59:46 AM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"188","Sep 8, 2017 10:59:46 AM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"189","Sep 8, 2017 11:00:19 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"190","Sep 8, 2017 11:13:27 AM","Screen Turned On","Screen has been turned on.","screen","info"
"191","Sep 8, 2017 11:13:30 AM","Screen Unlocked","User has unlocked the device.","screen","info"
"192","Sep 8, 2017 11:13:31 AM","App Started/Resumed: [Clock]","Application 'Clock'[com.google.android.deskclock] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"193","Sep 8, 2017 11:13:32 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"194","Sep 8, 2017 11:13:33 AM","App Started/Resumed: [System UI]","Application 'System UI'[com.android.systemui] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"195","Sep 8, 2017 11:13:35 AM","App Started/Resumed: [Event Logger]","Application 'Event Logger'[rs.pedjaapps.eventlogger] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
